,A,B,C,D
0,58,54,81,76
1,60,77,86,52
2,85,8,77,49
3,64,14,7,33
4,98,3,0,67
5,56,58,12,7
6,75,24,50,25
7,59,8,1,47
8,66,99,97,20
9,25,24,88,2
10,9,26,97,48
11,12,80,0,79
12,25,22,68,86
13,87,4,70,23
14,41,53,99,26
15,77,16,3,92
16,22,11,69,53
17,86,52,57,39
18,8,31,87,42
19,62,97,73,88
20,99,53,50,81
21,64,74,45,68
22,2,70,26,95
23,62,61,89,15
24,10,2,48,28
25,17,80,33,60
26,5,77,2,68
27,8,39,67,11
28,98,97,42,12
29,74,14,54,30
30,36,7,46,29
31,23,64,52,95
32,80,61,5,67
33,17,44,38,83
34,79,30,38,84
35,13,26,3,33
36,47,18,92,66
37,93,28,87,83
38,92,28,76,70
39,21,53,22,39
40,32,66,47,84
41,11,48,53,52
42,21,5,89,67
43,48,54,13,53
44,83,44,98,0
45,42,85,5,98
46,63,75,84,82
47,89,45,28,3
48,75,78,26,2
49,35,35,65,52
50,75,8,15,48
51,17,78,58,88
52,10,18,36,9
53,68,2,80,92
54,45,42,0,81
55,32,75,15,81
56,58,99,95,68
57,42,8,28,81
58,83,93,32,93
59,84,77,58,54
60,88,1,24,68
61,12,12,22,86
62,3,24,58,83
63,53,71,29,21
64,80,41,56,59
65,75,5,93,64
66,18,23,56,84
67,4,36,29,88
68,88,6,18,26
69,23,65,57,15
70,12,42,87,20
71,53,77,7,97
72,68,5,1,9
73,16,31,3,52
74,25,57,26,85
75,24,96,94,37
76,33,20,98,15
77,23,76,58,93
78,74,20,34,33
79,40,65,90,32
80,42,77,89,60
81,35,60,45,54
82,63,51,82,24
83,41,67,5,54
84,18,13,99,32
85,56,15,72,59
86,36,99,67,44
87,91,76,73,7
88,14,51,78,18
89,41,32,67,76
90,21,32,87,50
91,0,34,88,47
92,59,80,62,20
93,56,64,45,44
94,52,67,53,71
95,60,10,13,8
96,34,85,75,78
97,24,50,13,3
98,7,63,96,12
99,38,52,82,92
